"Town","FIPS","Year","Allegation Type","Report Status","Measure Type","Variable","Value","Region","Category"
"Hebron",901337910,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",27,"North Central Region","Neglect"
"Hebron",901337910,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Hebron",901337910,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Hebron",901337910,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Hebron",901337910,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Hebron",901337910,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Hebron",901337910,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Hebron",901337910,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Hebron",901337910,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Hebron",901337910,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",20,"North Central Region","Abuse"
"Hebron",901337910,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Hebron",901337910,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Hebron",901337910,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",65,"North Central Region","Neglect"
"Hebron",901337910,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Hebron",901337910,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Hebron",901337910,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Hebron",901337910,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Hebron",901337910,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Kent",900540290,2017,"All","Alleged","Number","Child Abuse and Neglect",30,"Western Region","All"
"Kent",900540290,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","All"
"Kent",900540290,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","All"
"Kent",900540290,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Kent",900540290,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Kent",900540290,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Kent",900540290,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",12,"Western Region","Neglect"
"Kent",900540290,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Kent",900540290,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Kent",900540290,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Kent",900540290,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Kent",900540290,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Kent",900540290,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Kent",900540290,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",17,"Western Region","Neglect"
"Kent",900540290,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Kent",900540290,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Kent",900540290,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Kent",900540290,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Killingly",901540500,2017,"All","Alleged","Number","Child Abuse and Neglect",749,"Eastern Region","All"
"Killingly",901540500,2017,"All","Substantiated","Number","Child Abuse and Neglect",175,"Eastern Region","All"
"Killingly",901540500,2017,"All","Substantiated","Rate","Child Abuse and Neglect",23.36,"Eastern Region","All"
"Killingly",901540500,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingly",901540500,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingly",901540500,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingly",901540500,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",17,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",147,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",67,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",45.58,"Eastern Region","Neglect"
"Killingly",901540500,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingly",901540500,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingly",901540500,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingly",901540500,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",28,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",14,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",50,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",49,"Eastern Region","Abuse"
"Killingly",901540500,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingly",901540500,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingly",901540500,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",466,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",84,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",18.03,"Eastern Region","Neglect"
"Killingly",901540500,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",13,"Eastern Region","Abuse"
"Killingly",901540500,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingly",901540500,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingworth",900740710,2017,"All","Alleged","Number","Child Abuse and Neglect",50,"Eastern Region","All"
"Killingworth",900740710,2017,"All","Substantiated","Number","Child Abuse and Neglect",16,"Eastern Region","All"
"Killingworth",900740710,2017,"All","Substantiated","Rate","Child Abuse and Neglect",32,"Eastern Region","All"
"Killingworth",900740710,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingworth",900740710,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingworth",900740710,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingworth",900740710,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",17,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingworth",900740710,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingworth",900740710,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Killingworth",900740710,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingworth",900740710,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingworth",900740710,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingworth",900740710,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",27,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Killingworth",900740710,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingworth",900740710,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Killingworth",900740710,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lebanon",901142390,2017,"All","Alleged","Number","Child Abuse and Neglect",127,"Eastern Region","All"
"Lebanon",901142390,2017,"All","Substantiated","Number","Child Abuse and Neglect",19,"Eastern Region","All"
"Lebanon",901142390,2017,"All","Substantiated","Rate","Child Abuse and Neglect",14.96,"Eastern Region","All"
"Lebanon",901142390,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lebanon",901142390,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lebanon",901142390,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lebanon",901142390,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",13,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lebanon",901142390,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lebanon",901142390,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lebanon",901142390,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",19,"Eastern Region","Abuse"
"Lebanon",901142390,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lebanon",901142390,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lebanon",901142390,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",80,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",12,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",15,"Eastern Region","Neglect"
"Lebanon",901142390,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lebanon",901142390,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lebanon",901142390,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ledyard",901142600,2017,"All","Alleged","Number","Child Abuse and Neglect",304,"Eastern Region","All"
"Ledyard",901142600,2017,"All","Substantiated","Number","Child Abuse and Neglect",70,"Eastern Region","All"
"Ledyard",901142600,2017,"All","Substantiated","Rate","Child Abuse and Neglect",23.03,"Eastern Region","All"
"Ledyard",901142600,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ledyard",901142600,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ledyard",901142600,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ledyard",901142600,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",38,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ledyard",901142600,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ledyard",901142600,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ledyard",901142600,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",31,"Eastern Region","Abuse"
"Ledyard",901142600,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ledyard",901142600,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ledyard",901142600,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",222,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",53,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",23.87,"Eastern Region","Neglect"
"Ledyard",901142600,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ledyard",901142600,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ledyard",901142600,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lisbon",901143230,2017,"All","Alleged","Number","Child Abuse and Neglect",60,"Eastern Region","All"
"Lisbon",901143230,2017,"All","Substantiated","Number","Child Abuse and Neglect",14,"Eastern Region","All"
"Lisbon",901143230,2017,"All","Substantiated","Rate","Child Abuse and Neglect",23.33,"Eastern Region","All"
"Lisbon",901143230,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lisbon",901143230,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lisbon",901143230,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lisbon",901143230,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lisbon",901143230,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lisbon",901143230,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lisbon",901143230,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lisbon",901143230,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lisbon",901143230,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lisbon",901143230,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",32,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lisbon",901143230,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lisbon",901143230,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lisbon",901143230,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Litchfield",900543370,2017,"All","Alleged","Number","Child Abuse and Neglect",108,"Western Region","All"
"Litchfield",900543370,2017,"All","Substantiated","Number","Child Abuse and Neglect",16,"Western Region","All"
"Litchfield",900543370,2017,"All","Substantiated","Rate","Child Abuse and Neglect",14.81,"Western Region","All"
"Litchfield",900543370,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Litchfield",900543370,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Litchfield",900543370,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Litchfield",900543370,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",11,"Western Region","Neglect"
"Litchfield",900543370,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Litchfield",900543370,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Litchfield",900543370,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Litchfield",900543370,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Litchfield",900543370,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Litchfield",900543370,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Litchfield",900543370,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Litchfield",900543370,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",82,"Western Region","Neglect"
"Litchfield",900543370,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",13,"Western Region","Neglect"
"Litchfield",900543370,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",15.85,"Western Region","Neglect"
"Litchfield",900543370,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Litchfield",900543370,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Litchfield",900543370,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Lyme",901144210,2017,"All","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","All"
"Lyme",901144210,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","All"
"Lyme",901144210,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","All"
"Lyme",901144210,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lyme",901144210,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lyme",901144210,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lyme",901144210,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lyme",901144210,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lyme",901144210,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Lyme",901144210,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lyme",901144210,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lyme",901144210,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lyme",901144210,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Lyme",901144210,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lyme",901144210,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Lyme",901144210,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
