"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"North Canaan School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",315
"North Canaan School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",64
"North Canaan School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.7
"North Canaan School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999
"North Canaan School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999
"North Canaan School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",44
"North Canaan School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",14.9
"North Canaan School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",295
"North Canaan School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",68
"North Canaan School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.3
"North Canaan School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",7
"North Canaan School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.5
"North Canaan School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",42
"North Canaan School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",15
"North Canaan School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",280
"North Canaan School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",64
"North Canaan School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.6
"North Canaan School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",9
"North Canaan School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",3.5
"North Canaan School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",38
"North Canaan School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",14.6
"North Canaan School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",260
"North Canaan School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",68
"North Canaan School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.5
"North Canaan School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",11
"North Canaan School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",4
"North Canaan School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",40
"North Canaan School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",14.4
"North Canaan School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",278
"North Canaan School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",66
"North Canaan School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",23.5
"North Canaan School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",14
"North Canaan School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",5
"North Canaan School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",37
"North Canaan School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",13.2
"North Canaan School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",281
"North Haven School District",900954870,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",342
"North Haven School District",900954870,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",9.6
"North Haven School District",900954870,"2011-2012","Indicator of Educational Need","English Language Learner","Number",56
"North Haven School District",900954870,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",1.6
"North Haven School District",900954870,"2011-2012","Indicator of Educational Need","Special Education","Number",342
"North Haven School District",900954870,"2011-2012","Indicator of Educational Need","Special Education","Percent",9.6
"North Haven School District",900954870,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",3580
"North Haven School District",900954870,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",463
"North Haven School District",900954870,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.1
"North Haven School District",900954870,"2012-2013","Indicator of Educational Need","English Language Learner","Number",54
"North Haven School District",900954870,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.5
"North Haven School District",900954870,"2012-2013","Indicator of Educational Need","Special Education","Number",352
"North Haven School District",900954870,"2012-2013","Indicator of Educational Need","Special Education","Percent",10
"North Haven School District",900954870,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",3537
"North Haven School District",900954870,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",425
"North Haven School District",900954870,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",12.5
"North Haven School District",900954870,"2013-2014","Indicator of Educational Need","English Language Learner","Number",54
"North Haven School District",900954870,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",1.6
"North Haven School District",900954870,"2013-2014","Indicator of Educational Need","Special Education","Number",363
"North Haven School District",900954870,"2013-2014","Indicator of Educational Need","Special Education","Percent",10.7
"North Haven School District",900954870,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",3402
"North Haven School District",900954870,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",461
"North Haven School District",900954870,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.9
"North Haven School District",900954870,"2014-2015","Indicator of Educational Need","English Language Learner","Number",75
"North Haven School District",900954870,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.3
"North Haven School District",900954870,"2014-2015","Indicator of Educational Need","Special Education","Number",374
"North Haven School District",900954870,"2014-2015","Indicator of Educational Need","Special Education","Percent",11.3
"North Haven School District",900954870,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",3312
"North Haven School District",900954870,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",479
"North Haven School District",900954870,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",15
"North Haven School District",900954870,"2015-2016","Indicator of Educational Need","English Language Learner","Number",64
"North Haven School District",900954870,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2
"North Haven School District",900954870,"2015-2016","Indicator of Educational Need","Special Education","Number",353
"North Haven School District",900954870,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.1
"North Haven School District",900954870,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",3188
"North Haven School District",900954870,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",446
"North Haven School District",900954870,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14.1
"North Haven School District",900954870,"2016-2017","Indicator of Educational Need","English Language Learner","Number",97
"North Haven School District",900954870,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.1
"North Haven School District",900954870,"2016-2017","Indicator of Educational Need","Special Education","Number",350
"North Haven School District",900954870,"2016-2017","Indicator of Educational Need","Special Education","Percent",11.1
"North Haven School District",900954870,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",3162
"North Haven School District",900954870,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",425
"North Haven School District",900954870,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.5
"North Haven School District",900954870,"2017-2018","Indicator of Educational Need","English Language Learner","Number",86
"North Haven School District",900954870,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.7
"North Haven School District",900954870,"2017-2018","Indicator of Educational Need","Special Education","Number",362
"North Haven School District",900954870,"2017-2018","Indicator of Educational Need","Special Education","Percent",11.5
"North Haven School District",900954870,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",3159
"North Stonington School District",901155500,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",121
"North Stonington School District",901155500,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",15.5
"North Stonington School District",901155500,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999
"North Stonington School District",901155500,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999
"North Stonington School District",901155500,"2011-2012","Indicator of Educational Need","Special Education","Number",78
"North Stonington School District",901155500,"2011-2012","Indicator of Educational Need","Special Education","Percent",10
"North Stonington School District",901155500,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",781
"North Stonington School District",901155500,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",135
"North Stonington School District",901155500,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.7
"North Stonington School District",901155500,"2012-2013","Indicator of Educational Need","English Language Learner","Number",0
"North Stonington School District",901155500,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0
"North Stonington School District",901155500,"2012-2013","Indicator of Educational Need","Special Education","Number",71
"North Stonington School District",901155500,"2012-2013","Indicator of Educational Need","Special Education","Percent",9.3
"North Stonington School District",901155500,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",764
"North Stonington School District",901155500,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",148
"North Stonington School District",901155500,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",19.7
"North Stonington School District",901155500,"2013-2014","Indicator of Educational Need","English Language Learner","Number",0
"North Stonington School District",901155500,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0
"North Stonington School District",901155500,"2013-2014","Indicator of Educational Need","Special Education","Number",75
"North Stonington School District",901155500,"2013-2014","Indicator of Educational Need","Special Education","Percent",10
"North Stonington School District",901155500,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",751
"North Stonington School District",901155500,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",116
"North Stonington School District",901155500,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",15.7
"North Stonington School District",901155500,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999
"North Stonington School District",901155500,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999
"North Stonington School District",901155500,"2014-2015","Indicator of Educational Need","Special Education","Number",73
"North Stonington School District",901155500,"2014-2015","Indicator of Educational Need","Special Education","Percent",9.9
"North Stonington School District",901155500,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",741
"North Stonington School District",901155500,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",126
"North Stonington School District",901155500,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.3
"North Stonington School District",901155500,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"North Stonington School District",901155500,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"North Stonington School District",901155500,"2015-2016","Indicator of Educational Need","Special Education","Number",73
"North Stonington School District",901155500,"2015-2016","Indicator of Educational Need","Special Education","Percent",10
"North Stonington School District",901155500,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",728
"North Stonington School District",901155500,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",97
"North Stonington School District",901155500,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.3
"North Stonington School District",901155500,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"North Stonington School District",901155500,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"North Stonington School District",901155500,"2016-2017","Indicator of Educational Need","Special Education","Number",60
"North Stonington School District",901155500,"2016-2017","Indicator of Educational Need","Special Education","Percent",8.2
"North Stonington School District",901155500,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",731
"North Stonington School District",901155500,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",72
"North Stonington School District",901155500,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",9.6
"North Stonington School District",901155500,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999
"North Stonington School District",901155500,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999
"North Stonington School District",901155500,"2017-2018","Indicator of Educational Need","Special Education","Number",70
"North Stonington School District",901155500,"2017-2018","Indicator of Educational Need","Special Education","Percent",9.3
"North Stonington School District",901155500,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",752
"Norwalk School District",900156060,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5002
"Norwalk School District",900156060,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",44.7
"Norwalk School District",900156060,"2011-2012","Indicator of Educational Need","English Language Learner","Number",1292
"Norwalk School District",900156060,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",11.6
"Norwalk School District",900156060,"2011-2012","Indicator of Educational Need","Special Education","Number",1153
"Norwalk School District",900156060,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.3
"Norwalk School District",900156060,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",11183
"Norwalk School District",900156060,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5247
"Norwalk School District",900156060,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",47.1
"Norwalk School District",900156060,"2012-2013","Indicator of Educational Need","English Language Learner","Number",1304
"Norwalk School District",900156060,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",11.7
"Norwalk School District",900156060,"2012-2013","Indicator of Educational Need","Special Education","Number",1226
"Norwalk School District",900156060,"2012-2013","Indicator of Educational Need","Special Education","Percent",11
"Norwalk School District",900156060,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",11148
"Norwalk School District",900156060,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5462
"Norwalk School District",900156060,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",48.9
"Norwalk School District",900156060,"2013-2014","Indicator of Educational Need","English Language Learner","Number",1294
"Norwalk School District",900156060,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",11.6
"Norwalk School District",900156060,"2013-2014","Indicator of Educational Need","Special Education","Number",1275
"Norwalk School District",900156060,"2013-2014","Indicator of Educational Need","Special Education","Percent",11.4
"Norwalk School District",900156060,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",11169
"Norwalk School District",900156060,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",4955
"Norwalk School District",900156060,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",43.8
"Norwalk School District",900156060,"2014-2015","Indicator of Educational Need","English Language Learner","Number",1572
"Norwalk School District",900156060,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",13.9
"Norwalk School District",900156060,"2014-2015","Indicator of Educational Need","Special Education","Number",1356
"Norwalk School District",900156060,"2014-2015","Indicator of Educational Need","Special Education","Percent",12
"Norwalk School District",900156060,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",11311
"Norwalk School District",900156060,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5752
"Norwalk School District",900156060,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",50.4
"Norwalk School District",900156060,"2015-2016","Indicator of Educational Need","English Language Learner","Number",1585
"Norwalk School District",900156060,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",13.9
"Norwalk School District",900156060,"2015-2016","Indicator of Educational Need","Special Education","Number",1466
"Norwalk School District",900156060,"2015-2016","Indicator of Educational Need","Special Education","Percent",12.8
"Norwalk School District",900156060,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",11409
"Norwalk School District",900156060,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5925
"Norwalk School District",900156060,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",51.5
"Norwalk School District",900156060,"2016-2017","Indicator of Educational Need","English Language Learner","Number",1683
"Norwalk School District",900156060,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",14.6
"Norwalk School District",900156060,"2016-2017","Indicator of Educational Need","Special Education","Number",1577
"Norwalk School District",900156060,"2016-2017","Indicator of Educational Need","Special Education","Percent",13.7
"Norwalk School District",900156060,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",11498
"Norwalk School District",900156060,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5963
"Norwalk School District",900156060,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",51.5
"Norwalk School District",900156060,"2017-2018","Indicator of Educational Need","English Language Learner","Number",1782
"Norwalk School District",900156060,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",15.4
"Norwalk School District",900156060,"2017-2018","Indicator of Educational Need","Special Education","Number",1653
"Norwalk School District",900156060,"2017-2018","Indicator of Educational Need","Special Education","Percent",14.3
"Norwalk School District",900156060,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",11573
"Norwich Free Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",406
"Norwich Free Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",17.5
"Norwich Free Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",101
"Norwich Free Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",4.4
"Norwich Free Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",300
"Norwich Free Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",13
"Norwich Free Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",2315
"Norwich Free Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",563
"Norwich Free Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.9
"Norwich Free Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",130
"Norwich Free Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",5.7
"Norwich Free Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",271
"Norwich Free Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",12
"Norwich Free Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",2264
"Norwich Free Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",559
"Norwich Free Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",24.1
"Norwich Free Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",154
"Norwich Free Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",6.6
"Norwich Free Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",278
"Norwich Free Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",12
"Norwich Free Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",2324
"Norwich Free Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1048
"Norwich Free Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",45.2
"Norwich Free Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",167
"Norwich Free Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",7.2
"Norwich Free Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",294
"Norwich Free Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",12.7
"Norwich Free Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",2317
"Norwich Free Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1200
"Norwich Free Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",52.6
"Norwich Free Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",151
"Norwich Free Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",6.6
"Norwich Free Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",259
"Norwich Free Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.3
"Norwich Free Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",2282
"Norwich Free Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1126
"Norwich Free Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",48.2
"Norwich Free Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",140
"Norwich Free Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",6
"Norwich Free Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",272
"Norwich Free Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",11.6
"Norwich Free Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2338
"Norwich Free Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1049
"Norwich Free Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",45.1
"Norwich Free Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",157
"Norwich Free Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",6.7
"Norwich Free Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",268
"Norwich Free Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",11.5
"Norwich Free Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2326
"Norwich School District",901156270,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2774
"Norwich School District",901156270,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",71.4
"Norwich School District",901156270,"2011-2012","Indicator of Educational Need","English Language Learner","Number",441
"Norwich School District",901156270,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",11.4
"Norwich School District",901156270,"2011-2012","Indicator of Educational Need","Special Education","Number",630
"Norwich School District",901156270,"2011-2012","Indicator of Educational Need","Special Education","Percent",16.2
"Norwich School District",901156270,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",3883
"Norwich School District",901156270,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2645
"Norwich School District",901156270,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.4
"Norwich School District",901156270,"2012-2013","Indicator of Educational Need","English Language Learner","Number",445
"Norwich School District",901156270,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",11.5
"Norwich School District",901156270,"2012-2013","Indicator of Educational Need","Special Education","Number",669
"Norwich School District",901156270,"2012-2013","Indicator of Educational Need","Special Education","Percent",17.3
"Norwich School District",901156270,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",3869
"Norwich School District",901156270,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2744
"Norwich School District",901156270,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",72.1
"Norwich School District",901156270,"2013-2014","Indicator of Educational Need","English Language Learner","Number",467
"Norwich School District",901156270,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",12.3
"Norwich School District",901156270,"2013-2014","Indicator of Educational Need","Special Education","Number",623
"Norwich School District",901156270,"2013-2014","Indicator of Educational Need","Special Education","Percent",16.4
"Norwich School District",901156270,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",3804
"Norwich School District",901156270,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2824
"Norwich School District",901156270,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",75
"Norwich School District",901156270,"2014-2015","Indicator of Educational Need","English Language Learner","Number",494
"Norwich School District",901156270,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",13.1
"Norwich School District",901156270,"2014-2015","Indicator of Educational Need","Special Education","Number",640
"Norwich School District",901156270,"2014-2015","Indicator of Educational Need","Special Education","Percent",17
"Norwich School District",901156270,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",3764
"Norwich School District",901156270,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2790
"Norwich School District",901156270,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",75.3
"Norwich School District",901156270,"2015-2016","Indicator of Educational Need","English Language Learner","Number",522
"Norwich School District",901156270,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",14.1
"Norwich School District",901156270,"2015-2016","Indicator of Educational Need","Special Education","Number",665
"Norwich School District",901156270,"2015-2016","Indicator of Educational Need","Special Education","Percent",17.9
"Norwich School District",901156270,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",3705
"Norwich School District",901156270,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2763
"Norwich School District",901156270,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",75.7
"Norwich School District",901156270,"2016-2017","Indicator of Educational Need","English Language Learner","Number",565
"Norwich School District",901156270,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",15.5
"Norwich School District",901156270,"2016-2017","Indicator of Educational Need","Special Education","Number",727
"Norwich School District",901156270,"2016-2017","Indicator of Educational Need","Special Education","Percent",19.9
"Norwich School District",901156270,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",3652
"Norwich School District",901156270,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2727
"Norwich School District",901156270,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",75.9
"Norwich School District",901156270,"2017-2018","Indicator of Educational Need","English Language Learner","Number",610
"Norwich School District",901156270,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",17
"Norwich School District",901156270,"2017-2018","Indicator of Educational Need","Special Education","Number",763
"Norwich School District",901156270,"2017-2018","Indicator of Educational Need","Special Education","Percent",21.2
"Norwich School District",901156270,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",3595
"Odyssey Community School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",119
"Odyssey Community School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",37.9
"Odyssey Community School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",0
"Odyssey Community School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0
"Odyssey Community School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",36
"Odyssey Community School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",11.5
"Odyssey Community School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",314
"Odyssey Community School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",139
"Odyssey Community School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",42.9
"Odyssey Community School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",0
"Odyssey Community School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0
"Odyssey Community School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",31
