"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Meriden School District",900946520,"2012-2013","Indicator of Educational Need","Special Education","Percent",15.8,6,"Central"
"Meriden School District",900946520,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",8260,6,"Central"
"Meriden School District",900946520,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5700,6,"Central"
"Meriden School District",900946520,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",69.7,6,"Central"
"Meriden School District",900946520,"2013-2014","Indicator of Educational Need","English Language Learner","Number",1019,6,"Central"
"Meriden School District",900946520,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",12.5,6,"Central"
"Meriden School District",900946520,"2013-2014","Indicator of Educational Need","Special Education","Number",1341,6,"Central"
"Meriden School District",900946520,"2013-2014","Indicator of Educational Need","Special Education","Percent",16.4,6,"Central"
"Meriden School District",900946520,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",8183,6,"Central"
"Meriden School District",900946520,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5614,6,"Central"
"Meriden School District",900946520,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",69.3,6,"Central"
"Meriden School District",900946520,"2014-2015","Indicator of Educational Need","English Language Learner","Number",1150,6,"Central"
"Meriden School District",900946520,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",14.2,6,"Central"
"Meriden School District",900946520,"2014-2015","Indicator of Educational Need","Special Education","Number",1414,6,"Central"
"Meriden School District",900946520,"2014-2015","Indicator of Educational Need","Special Education","Percent",17.5,6,"Central"
"Meriden School District",900946520,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",8100,6,"Central"
"Meriden School District",900946520,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5679,6,"Central"
"Meriden School District",900946520,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",71,6,"Central"
"Meriden School District",900946520,"2015-2016","Indicator of Educational Need","English Language Learner","Number",1169,6,"Central"
"Meriden School District",900946520,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",14.6,6,"Central"
"Meriden School District",900946520,"2015-2016","Indicator of Educational Need","Special Education","Number",1476,6,"Central"
"Meriden School District",900946520,"2015-2016","Indicator of Educational Need","Special Education","Percent",18.5,6,"Central"
"Meriden School District",900946520,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",7993,6,"Central"
"Meriden School District",900946520,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5653,6,"Central"
"Meriden School District",900946520,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",71.1,6,"Central"
"Meriden School District",900946520,"2016-2017","Indicator of Educational Need","English Language Learner","Number",1183,6,"Central"
"Meriden School District",900946520,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",14.9,6,"Central"
"Meriden School District",900946520,"2016-2017","Indicator of Educational Need","Special Education","Number",1556,6,"Central"
"Meriden School District",900946520,"2016-2017","Indicator of Educational Need","Special Education","Percent",19.6,6,"Central"
"Meriden School District",900946520,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",7950,6,"Central"
"Meriden School District",900946520,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",5848,6,"Central"
"Meriden School District",900946520,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",73.7,6,"Central"
"Meriden School District",900946520,"2017-2018","Indicator of Educational Need","English Language Learner","Number",1179,6,"Central"
"Meriden School District",900946520,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",14.9,6,"Central"
"Meriden School District",900946520,"2017-2018","Indicator of Educational Need","Special Education","Number",1596,6,"Central"
"Meriden School District",900946520,"2017-2018","Indicator of Educational Need","Special Education","Percent",20.1,6,"Central"
"Meriden School District",900946520,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",7933,6,"Central"
"Middletown School District",900747360,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2233,3,"Eastern"
"Middletown School District",900747360,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",43.7,3,"Eastern"
"Middletown School District",900747360,"2011-2012","Indicator of Educational Need","English Language Learner","Number",132,3,"Eastern"
"Middletown School District",900747360,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.6,3,"Eastern"
"Middletown School District",900747360,"2011-2012","Indicator of Educational Need","Special Education","Number",616,3,"Eastern"
"Middletown School District",900747360,"2011-2012","Indicator of Educational Need","Special Education","Percent",12.1,3,"Eastern"
"Middletown School District",900747360,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",5106,3,"Eastern"
"Middletown School District",900747360,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2155,3,"Eastern"
"Middletown School District",900747360,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",43.6,3,"Eastern"
"Middletown School District",900747360,"2012-2013","Indicator of Educational Need","English Language Learner","Number",162,3,"Eastern"
"Middletown School District",900747360,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",3.3,3,"Eastern"
"Middletown School District",900747360,"2012-2013","Indicator of Educational Need","Special Education","Number",614,3,"Eastern"
"Middletown School District",900747360,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.4,3,"Eastern"
"Middletown School District",900747360,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",4948,3,"Eastern"
"Middletown School District",900747360,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2202,3,"Eastern"
"Middletown School District",900747360,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",45.4,3,"Eastern"
"Middletown School District",900747360,"2013-2014","Indicator of Educational Need","English Language Learner","Number",152,3,"Eastern"
"Middletown School District",900747360,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.1,3,"Eastern"
"Middletown School District",900747360,"2013-2014","Indicator of Educational Need","Special Education","Number",624,3,"Eastern"
"Middletown School District",900747360,"2013-2014","Indicator of Educational Need","Special Education","Percent",12.9,3,"Eastern"
"Middletown School District",900747360,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",4847,3,"Eastern"
"Middletown School District",900747360,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2263,3,"Eastern"
"Middletown School District",900747360,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",47.2,3,"Eastern"
"Middletown School District",900747360,"2014-2015","Indicator of Educational Need","English Language Learner","Number",176,3,"Eastern"
"Middletown School District",900747360,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3.7,3,"Eastern"
"Middletown School District",900747360,"2014-2015","Indicator of Educational Need","Special Education","Number",635,3,"Eastern"
"Middletown School District",900747360,"2014-2015","Indicator of Educational Need","Special Education","Percent",13.2,3,"Eastern"
"Middletown School District",900747360,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",4793,3,"Eastern"
"Middletown School District",900747360,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1968,3,"Eastern"
"Middletown School District",900747360,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",41.9,3,"Eastern"
"Middletown School District",900747360,"2015-2016","Indicator of Educational Need","English Language Learner","Number",172,3,"Eastern"
"Middletown School District",900747360,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",3.7,3,"Eastern"
"Middletown School District",900747360,"2015-2016","Indicator of Educational Need","Special Education","Number",639,3,"Eastern"
"Middletown School District",900747360,"2015-2016","Indicator of Educational Need","Special Education","Percent",13.6,3,"Eastern"
"Middletown School District",900747360,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",4701,3,"Eastern"
"Middletown School District",900747360,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2182,3,"Eastern"
"Middletown School District",900747360,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",46.4,3,"Eastern"
"Middletown School District",900747360,"2016-2017","Indicator of Educational Need","English Language Learner","Number",178,3,"Eastern"
"Middletown School District",900747360,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.8,3,"Eastern"
"Middletown School District",900747360,"2016-2017","Indicator of Educational Need","Special Education","Number",653,3,"Eastern"
"Middletown School District",900747360,"2016-2017","Indicator of Educational Need","Special Education","Percent",13.9,3,"Eastern"
"Middletown School District",900747360,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",4702,3,"Eastern"
"Middletown School District",900747360,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2045,3,"Eastern"
"Middletown School District",900747360,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",44.6,3,"Eastern"
"Middletown School District",900747360,"2017-2018","Indicator of Educational Need","English Language Learner","Number",173,3,"Eastern"
"Middletown School District",900747360,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.8,3,"Eastern"
"Middletown School District",900747360,"2017-2018","Indicator of Educational Need","Special Education","Number",638,3,"Eastern"
"Middletown School District",900747360,"2017-2018","Indicator of Educational Need","Special Education","Percent",13.9,3,"Eastern"
"Middletown School District",900747360,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",4588,3,"Eastern"
"Milford School District",900947535,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1407,2,"South Central"
"Milford School District",900947535,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.6,2,"South Central"
"Milford School District",900947535,"2011-2012","Indicator of Educational Need","English Language Learner","Number",103,2,"South Central"
"Milford School District",900947535,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",1.5,2,"South Central"
"Milford School District",900947535,"2011-2012","Indicator of Educational Need","Special Education","Number",829,2,"South Central"
"Milford School District",900947535,"2011-2012","Indicator of Educational Need","Special Education","Percent",12.1,2,"South Central"
"Milford School District",900947535,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",6836,2,"South Central"
"Milford School District",900947535,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1424,2,"South Central"
"Milford School District",900947535,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.3,2,"South Central"
"Milford School District",900947535,"2012-2013","Indicator of Educational Need","English Language Learner","Number",119,2,"South Central"
"Milford School District",900947535,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",1.8,2,"South Central"
"Milford School District",900947535,"2012-2013","Indicator of Educational Need","Special Education","Number",833,2,"South Central"
"Milford School District",900947535,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.5,2,"South Central"
"Milford School District",900947535,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",6670,2,"South Central"
"Milford School District",900947535,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1329,2,"South Central"
"Milford School District",900947535,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.7,2,"South Central"
"Milford School District",900947535,"2013-2014","Indicator of Educational Need","English Language Learner","Number",123,2,"South Central"
"Milford School District",900947535,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",1.9,2,"South Central"
"Milford School District",900947535,"2013-2014","Indicator of Educational Need","Special Education","Number",802,2,"South Central"
"Milford School District",900947535,"2013-2014","Indicator of Educational Need","Special Education","Percent",12.5,2,"South Central"
"Milford School District",900947535,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",6434,2,"South Central"
"Milford School District",900947535,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1350,2,"South Central"
"Milford School District",900947535,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",21.5,2,"South Central"
"Milford School District",900947535,"2014-2015","Indicator of Educational Need","English Language Learner","Number",153,2,"South Central"
"Milford School District",900947535,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.4,2,"South Central"
"Milford School District",900947535,"2014-2015","Indicator of Educational Need","Special Education","Number",766,2,"South Central"
"Milford School District",900947535,"2014-2015","Indicator of Educational Need","Special Education","Percent",12.2,2,"South Central"
"Milford School District",900947535,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",6278,2,"South Central"
"Milford School District",900947535,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1279,2,"South Central"
"Milford School District",900947535,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",20.8,2,"South Central"
"Milford School District",900947535,"2015-2016","Indicator of Educational Need","English Language Learner","Number",155,2,"South Central"
"Milford School District",900947535,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.5,2,"South Central"
"Milford School District",900947535,"2015-2016","Indicator of Educational Need","Special Education","Number",761,2,"South Central"
"Milford School District",900947535,"2015-2016","Indicator of Educational Need","Special Education","Percent",12.4,2,"South Central"
"Milford School District",900947535,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",6152,2,"South Central"
"Milford School District",900947535,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1168,2,"South Central"
"Milford School District",900947535,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",19.7,2,"South Central"
"Milford School District",900947535,"2016-2017","Indicator of Educational Need","English Language Learner","Number",152,2,"South Central"
"Milford School District",900947535,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",2.6,2,"South Central"
"Milford School District",900947535,"2016-2017","Indicator of Educational Need","Special Education","Number",761,2,"South Central"
"Milford School District",900947535,"2016-2017","Indicator of Educational Need","Special Education","Percent",12.8,2,"South Central"
"Milford School District",900947535,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",5926,2,"South Central"
"Milford School District",900947535,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1083,2,"South Central"
"Milford School District",900947535,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",18.7,2,"South Central"
"Milford School District",900947535,"2017-2018","Indicator of Educational Need","English Language Learner","Number",148,2,"South Central"
"Milford School District",900947535,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",2.6,2,"South Central"
"Milford School District",900947535,"2017-2018","Indicator of Educational Need","Special Education","Number",821,2,"South Central"
"Milford School District",900947535,"2017-2018","Indicator of Educational Need","Special Education","Percent",14.2,2,"South Central"
"Milford School District",900947535,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",5792,2,"South Central"
"Monroe School District",900148620,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",281,1,"Southwest"
"Monroe School District",900148620,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",7.8,1,"Southwest"
"Monroe School District",900148620,"2011-2012","Indicator of Educational Need","English Language Learner","Number",13,1,"Southwest"
"Monroe School District",900148620,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",0.4,1,"Southwest"
"Monroe School District",900148620,"2011-2012","Indicator of Educational Need","Special Education","Number",362,1,"Southwest"
"Monroe School District",900148620,"2011-2012","Indicator of Educational Need","Special Education","Percent",10.1,1,"Southwest"
"Monroe School District",900148620,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",3589,1,"Southwest"
"Monroe School District",900148620,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",228,1,"Southwest"
"Monroe School District",900148620,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",6.5,1,"Southwest"
"Monroe School District",900148620,"2012-2013","Indicator of Educational Need","English Language Learner","Number",18,1,"Southwest"
"Monroe School District",900148620,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",0.5,1,"Southwest"
"Monroe School District",900148620,"2012-2013","Indicator of Educational Need","Special Education","Number",377,1,"Southwest"
"Monroe School District",900148620,"2012-2013","Indicator of Educational Need","Special Education","Percent",10.8,1,"Southwest"
"Monroe School District",900148620,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",3488,1,"Southwest"
"Monroe School District",900148620,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",257,1,"Southwest"
"Monroe School District",900148620,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",7.6,1,"Southwest"
"Monroe School District",900148620,"2013-2014","Indicator of Educational Need","English Language Learner","Number",15,1,"Southwest"
"Monroe School District",900148620,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",0.4,1,"Southwest"
"Monroe School District",900148620,"2013-2014","Indicator of Educational Need","Special Education","Number",371,1,"Southwest"
"Monroe School District",900148620,"2013-2014","Indicator of Educational Need","Special Education","Percent",11,1,"Southwest"
"Monroe School District",900148620,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",3379,1,"Southwest"
"Monroe School District",900148620,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",272,1,"Southwest"
"Monroe School District",900148620,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.2,1,"Southwest"
"Monroe School District",900148620,"2014-2015","Indicator of Educational Need","English Language Learner","Number",14,1,"Southwest"
"Monroe School District",900148620,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",0.4,1,"Southwest"
"Monroe School District",900148620,"2014-2015","Indicator of Educational Need","Special Education","Number",354,1,"Southwest"
"Monroe School District",900148620,"2014-2015","Indicator of Educational Need","Special Education","Percent",10.7,1,"Southwest"
"Monroe School District",900148620,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",3299,1,"Southwest"
"Monroe School District",900148620,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",260,1,"Southwest"
"Monroe School District",900148620,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.2,1,"Southwest"
"Monroe School District",900148620,"2015-2016","Indicator of Educational Need","English Language Learner","Number",11,1,"Southwest"
"Monroe School District",900148620,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",0.3,1,"Southwest"
"Monroe School District",900148620,"2015-2016","Indicator of Educational Need","Special Education","Number",360,1,"Southwest"
"Monroe School District",900148620,"2015-2016","Indicator of Educational Need","Special Education","Percent",11.3,1,"Southwest"
"Monroe School District",900148620,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",3180,1,"Southwest"
"Monroe School District",900148620,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",269,1,"Southwest"
"Monroe School District",900148620,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",8.4,1,"Southwest"
"Monroe School District",900148620,"2016-2017","Indicator of Educational Need","English Language Learner","Number",12,1,"Southwest"
"Monroe School District",900148620,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",0.4,1,"Southwest"
"Monroe School District",900148620,"2016-2017","Indicator of Educational Need","Special Education","Number",362,1,"Southwest"
"Monroe School District",900148620,"2016-2017","Indicator of Educational Need","Special Education","Percent",11.4,1,"Southwest"
"Monroe School District",900148620,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",3189,1,"Southwest"
"Monroe School District",900148620,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",243,1,"Southwest"
"Monroe School District",900148620,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",7.7,1,"Southwest"
"Monroe School District",900148620,"2017-2018","Indicator of Educational Need","English Language Learner","Number",27,1,"Southwest"
"Monroe School District",900148620,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",0.9,1,"Southwest"
"Monroe School District",900148620,"2017-2018","Indicator of Educational Need","Special Education","Number",379,1,"Southwest"
"Monroe School District",900148620,"2017-2018","Indicator of Educational Need","Special Education","Percent",12,1,"Southwest"
"Monroe School District",900148620,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",3149,1,"Southwest"
"Montville School District",901148900,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",809,3,"Eastern"
"Montville School District",901148900,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",31.4,3,"Eastern"
"Montville School District",901148900,"2011-2012","Indicator of Educational Need","English Language Learner","Number",101,3,"Eastern"
"Montville School District",901148900,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3.9,3,"Eastern"
"Montville School District",901148900,"2011-2012","Indicator of Educational Need","Special Education","Number",287,3,"Eastern"
"Montville School District",901148900,"2011-2012","Indicator of Educational Need","Special Education","Percent",11.1,3,"Eastern"
"Montville School District",901148900,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",2575,3,"Eastern"
"Montville School District",901148900,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",841,3,"Eastern"
"Montville School District",901148900,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34.3,3,"Eastern"
"Montville School District",901148900,"2012-2013","Indicator of Educational Need","English Language Learner","Number",86,3,"Eastern"
"Montville School District",901148900,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",3.5,3,"Eastern"
"Montville School District",901148900,"2012-2013","Indicator of Educational Need","Special Education","Number",298,3,"Eastern"
"Montville School District",901148900,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.1,3,"Eastern"
"Montville School District",901148900,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",2455,3,"Eastern"
"Montville School District",901148900,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",839,3,"Eastern"
"Montville School District",901148900,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",34.7,3,"Eastern"
"Montville School District",901148900,"2013-2014","Indicator of Educational Need","English Language Learner","Number",87,3,"Eastern"
"Montville School District",901148900,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.6,3,"Eastern"
"Montville School District",901148900,"2013-2014","Indicator of Educational Need","Special Education","Number",291,3,"Eastern"
"Montville School District",901148900,"2013-2014","Indicator of Educational Need","Special Education","Percent",12,3,"Eastern"
"Montville School District",901148900,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",2418,3,"Eastern"
"Montville School District",901148900,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",835,3,"Eastern"
"Montville School District",901148900,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",35.4,3,"Eastern"
"Montville School District",901148900,"2014-2015","Indicator of Educational Need","English Language Learner","Number",94,3,"Eastern"
"Montville School District",901148900,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",4,3,"Eastern"
"Montville School District",901148900,"2014-2015","Indicator of Educational Need","Special Education","Number",309,3,"Eastern"
"Montville School District",901148900,"2014-2015","Indicator of Educational Need","Special Education","Percent",13.1,3,"Eastern"
"Montville School District",901148900,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",2356,3,"Eastern"
"Montville School District",901148900,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",849,3,"Eastern"
"Montville School District",901148900,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",37.6,3,"Eastern"
"Montville School District",901148900,"2015-2016","Indicator of Educational Need","English Language Learner","Number",78,3,"Eastern"
"Montville School District",901148900,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",3.5,3,"Eastern"
"Montville School District",901148900,"2015-2016","Indicator of Educational Need","Special Education","Number",338,3,"Eastern"
"Montville School District",901148900,"2015-2016","Indicator of Educational Need","Special Education","Percent",15,3,"Eastern"
"Montville School District",901148900,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",2256,3,"Eastern"
"Montville School District",901148900,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",862,3,"Eastern"
"Montville School District",901148900,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",39,3,"Eastern"
"Montville School District",901148900,"2016-2017","Indicator of Educational Need","English Language Learner","Number",83,3,"Eastern"
"Montville School District",901148900,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.8,3,"Eastern"
"Montville School District",901148900,"2016-2017","Indicator of Educational Need","Special Education","Number",332,3,"Eastern"
"Montville School District",901148900,"2016-2017","Indicator of Educational Need","Special Education","Percent",15,3,"Eastern"
"Montville School District",901148900,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2210,3,"Eastern"
"Montville School District",901148900,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",808,3,"Eastern"
"Montville School District",901148900,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",37.1,3,"Eastern"
"Montville School District",901148900,"2017-2018","Indicator of Educational Need","English Language Learner","Number",83,3,"Eastern"
"Montville School District",901148900,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.8,3,"Eastern"
"Montville School District",901148900,"2017-2018","Indicator of Educational Need","Special Education","Number",342,3,"Eastern"
"Montville School District",901148900,"2017-2018","Indicator of Educational Need","Special Education","Percent",15.7,3,"Eastern"
"Montville School District",901148900,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2180,3,"Eastern"
"Naugatuck School District",900949950,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1850,5,"Western"
"Naugatuck School District",900949950,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",40.8,5,"Western"
"Naugatuck School District",900949950,"2011-2012","Indicator of Educational Need","English Language Learner","Number",176,5,"Western"
"Naugatuck School District",900949950,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3.9,5,"Western"
"Naugatuck School District",900949950,"2011-2012","Indicator of Educational Need","Special Education","Number",571,5,"Western"
"Naugatuck School District",900949950,"2011-2012","Indicator of Educational Need","Special Education","Percent",12.6,5,"Western"
"Naugatuck School District",900949950,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",4535,5,"Western"
"Naugatuck School District",900949950,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",2066,5,"Western"
"Naugatuck School District",900949950,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",46,5,"Western"
"Naugatuck School District",900949950,"2012-2013","Indicator of Educational Need","English Language Learner","Number",185,5,"Western"
"Naugatuck School District",900949950,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",4.1,5,"Western"
"Naugatuck School District",900949950,"2012-2013","Indicator of Educational Need","Special Education","Number",602,5,"Western"
"Naugatuck School District",900949950,"2012-2013","Indicator of Educational Need","Special Education","Percent",13.4,5,"Western"
"Naugatuck School District",900949950,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",4490,5,"Western"
"Naugatuck School District",900949950,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1777,5,"Western"
"Naugatuck School District",900949950,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",40.8,5,"Western"
"Naugatuck School District",900949950,"2013-2014","Indicator of Educational Need","English Language Learner","Number",157,5,"Western"
"Naugatuck School District",900949950,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.6,5,"Western"
"Naugatuck School District",900949950,"2013-2014","Indicator of Educational Need","Special Education","Number",611,5,"Western"
"Naugatuck School District",900949950,"2013-2014","Indicator of Educational Need","Special Education","Percent",14,5,"Western"
"Naugatuck School District",900949950,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",4356,5,"Western"
